,0
cat__season_1,-856.2932220190964
cat__season_2,95.5649889719266
cat__season_3,-37.22150121662835
cat__season_4,797.9497342638045
cat__yr_0,-990.9172911524074
cat__yr_1,990.9172911524104
cat__mnth_1,-208.9481814937569
cat__mnth_2,-129.17198369679588
cat__mnth_3,369.4799958339259
cat__mnth_4,81.24268236869233
cat__mnth_5,331.92812227911884
cat__mnth_6,104.41475044231724
cat__mnth_7,-483.82955223583355
cat__mnth_8,-47.46944828181434
cat__mnth_9,638.7319204663949
cat__mnth_10,174.14547824994185
cat__mnth_11,-427.0745178487854
cat__mnth_12,-403.4492660834099
cat__holiday_0,180.93691246292622
cat__holiday_1,-180.93691246292607
cat__weekday_0,-201.16217666263447
cat__weekday_1,-104.37123152372493
cat__weekday_2,-79.32063590867733
cat__weekday_3,25.763204027404992
cat__weekday_4,-4.87026730780944
cat__weekday_5,78.44601808634404
cat__weekday_6,285.51508928909533
cat__workingday_0,-96.58399983646481
cat__workingday_1,96.58399983646488
cat__weathersit_1,778.2702627224107
cat__weathersit_2,269.83153763530515
cat__weathersit_3,-1048.1018003577183
num__temp,686.298245881834
num__atemp,195.4661204634904
num__hum,-204.78725872661852
num__windspeed,-198.40809247778927
